name,github,stars,last_commit,maturity,language,models,category,deployment,license,description,tags
DB-GPT,https://github.com/eosphoros-ai/DB-GPT,18398,2026-03-27,Beta,Python,"OpenAI, Local LLMs",Database,Cloud/Local,MIT,AI-native data app development framework with Text2SQL optimization and multi-model management,"Database Agent, Text2SQL, Data Analysis"
OpenAI Swarm,https://github.com/openai/swarm,21253,2025-03-11,Experimental,Python,OpenAI,Multi-Agent,Local,MIT,Experimental framework for lightweight multi-agent orchestration with handoffs and routines,"Experimental, Multi-Agent, Lightweight, OpenAI"
SuperAGI,https://github.com/TransformerOptimus/SuperAGI,17371,2025-01-22,Beta,Python,"OpenAI, Local LLMs",Autonomous,Cloud/Local,MIT,Dev-first open source autonomous AI agent framework enabling agent creation with GUI and marketplace,"Autonomous Agent, GUI Framework, Marketplace"
CAMEL,https://github.com/camel-ai/camel,16532,2026-03-27,Research,Python,"OpenAI, Anthropic",Research,Cloud/Local,Apache-2.0,Framework for studying autonomous and communicative agents through role-playing scenarios,"Research Framework, Role-Playing, Communicative Agents"
Phidata,https://github.com/phidatahq/phidata,39027,2026-03-30,Beta,Python,"OpenAI, Azure OpenAI",Tool-Using,Cloud/Local,Mozilla Public License,Python framework for converting LLMs into agents with database support and structured outputs,"Python Framework, Database Integration, Agent Builder"
E2B Sandbox,https://github.com/e2b-dev/e2b,11497,2026-03-29,Production,"Python, TypeScript","OpenAI, Anthropic",Infrastructure,Cloud,Apache-2.0,Secure cloud environments tailored for AI agents with long-running sessions and tool integration,"Sandbox Environment, Cloud Infrastructure, AI Agent Runtime"
LangGraph,https://github.com/langchain-ai/langgraph,27902,2026-03-29,Beta,Python,"OpenAI, Anthropic, Local LLMs",Workflow,Cloud/Local,MIT,Library for building stateful multi-actor applications with LLMs using graph-based workflows,"Graph Workflow, Stateful Agents, LangChain Ecosystem"
PydanticAI,https://github.com/pydantic/pydantic-ai,15932,2026-03-30,Beta,Python,"OpenAI, Anthropic, Groq",Type-Safe,Cloud/Local,MIT,Python agent framework focused on type safety and structured outputs with Pydantic integration,"Type Safety, Structured Output, Python Framework"
Cognee,https://github.com/topoteretes/cognee,14771,2026-03-30,Beta,Python,"OpenAI, Local LLMs",Knowledge Graph,Cloud/Local,Apache-2.0,Framework for simplifying data processing for LLMs by creating knowledge graphs and data models,"Knowledge Graph, Data Processing, RAG Framework"
Agents (AI Waves),https://github.com/aiwaves-cn/agents,5892,2024-09-26,Research,Python,"OpenAI, Local LLMs",Multi-Agent,Cloud/Local,Apache-2.0,Open-source framework for building autonomous language agents with memory and multi-agent communication,"Multi-Agent, Memory System, Communication Framework"
AgentVerse,https://github.com/OpenBMB/AgentVerse,4990,2024-09-09,Research,Python,"OpenAI, Local LLMs",Multi-Agent,Cloud/Local,Apache-2.0,Python framework for deploying multiple LLM-based agents in task-solving and simulation applications,"Multi-Agent, Simulation Framework, Task Solving"
AgentOps,https://github.com/AgentOps-AI/agentops,5411,2026-03-19,Beta,Python,"OpenAI, Anthropic",Evaluation,Cloud/Local,MIT,Observability evaluations and replay analytics platform for AI agent development and debugging,"Evaluation Framework, Observability, Agent Monitoring"
AIOS,https://github.com/agiresearch/AIOS,5410,2026-01-22,Research,Python,"OpenAI, Local LLMs",Operating System,Local,MIT,LLM Agent Operating System enabling operating system with soul for AGI development,"Agent OS, AGI Research, Operating System"
SmolAgents,https://github.com/huggingface/smolagents,26330,2026-03-29,Experimental,Python,"Hugging Face, Local LLMs",Minimal,Local,Apache-2.0,Minimal agents that think in Python code with extreme simplicity and Hub integration,"Minimal Framework, Code Generation, Hugging Face"
AgentLite,https://github.com/SalesforceAIResearch/AgentLite,642,2025-11-10,Research,Python,"OpenAI, Local LLMs",Lightweight,Local,BSD-3-Clause,Lightweight library for building and advancing task-oriented LLM agent systems,"Lightweight Framework, Task-Oriented, Salesforce Research"
